Year,Sport,NOC,Sex,Legendary_Index,Predicted_Legendary_Coach
1956,Gymnastics,BUL,F,0.34772977,False
1960,Gymnastics,BUL,F,0.31598768,False
1964,Gymnastics,BUL,F,0.34772977,False
1968,Gymnastics,BUL,F,0.34044436,False
1972,Gymnastics,BUL,F,0.3231351,False
1976,Gymnastics,BUL,F,0.3231351,False
1980,Gymnastics,BUL,F,0.3231351,False
1988,Gymnastics,BUL,F,0.34697753,False
1992,Gymnastics,BUL,F,0.34691793,False
1996,Gymnastics,BUL,F,0.544598,False
2004,Gymnastics,BUL,F,0.544598,False
2008,Gymnastics,BUL,F,0.544598,False
2012,Gymnastics,BUL,F,0.544598,False
1936,Gymnastics,BUL,M,0.31598768,False
1952,Gymnastics,BUL,M,0.31598768,False
1956,Gymnastics,BUL,M,0.34772977,False
1960,Gymnastics,BUL,M,0.33178675,False
1964,Gymnastics,BUL,M,0.31598768,False
1968,Gymnastics,BUL,M,0.31598768,False
1972,Gymnastics,BUL,M,0.3231351,False
1976,Gymnastics,BUL,M,0.3231351,False
1980,Gymnastics,BUL,M,0.48782066,False
1988,Gymnastics,BUL,M,0.495864,False
1992,Gymnastics,BUL,M,0.34691793,False
1996,Gymnastics,BUL,M,0.52402884,False
2000,Gymnastics,BUL,M,0.5346556,False
2004,Gymnastics,BUL,M,0.55160433,False
2008,Gymnastics,BUL,M,0.544598,False
2012,Gymnastics,BUL,M,0.544598,False
1956,Gymnastics,CAN,F,0.34772977,False
1960,Gymnastics,CAN,F,0.34772977,False
1964,Gymnastics,CAN,F,0.34772977,False
1968,Gymnastics,CAN,F,0.34044436,False
1972,Gymnastics,CAN,F,0.3231351,False
1976,Gymnastics,CAN,F,0.3231351,False
1984,Gymnastics,CAN,F,0.33117846,False
1988,Gymnastics,CAN,F,0.33117846,False
1992,Gymnastics,CAN,F,0.34691793,False
1996,Gymnastics,CAN,F,0.544598,False
2000,Gymnastics,CAN,F,0.5433134,False
2004,Gymnastics,CAN,F,0.5433134,False
2008,Gymnastics,CAN,F,0.544598,False
2012,Gymnastics,CAN,F,0.544598,False
2016,Gymnastics,CAN,F,0.544598,False
1908,Gymnastics,CAN,M,0.34772977,False
1956,Gymnastics,CAN,M,0.34772977,False
1960,Gymnastics,CAN,M,0.34772977,False
1964,Gymnastics,CAN,M,0.34772977,False
1968,Gymnastics,CAN,M,0.31598768,False
1972,Gymnastics,CAN,M,0.3548772,False
1976,Gymnastics,CAN,M,0.3548772,False
1984,Gymnastics,CAN,M,0.33117846,False
1988,Gymnastics,CAN,M,0.33117846,False
1992,Gymnastics,CAN,M,0.37866002,False
1996,Gymnastics,CAN,M,0.544598,False
2000,Gymnastics,CAN,M,0.544598,False
2004,Gymnastics,CAN,M,0.597375,False
2008,Gymnastics,CAN,M,0.51885647,False
2012,Gymnastics,CAN,M,0.544598,False
2016,Gymnastics,CAN,M,0.544598,False
2012,Gymnastics,CHI,F,0.544598,False
2016,Gymnastics,CHI,F,0.544598,False
2012,Gymnastics,CHI,M,0.544598,False
2016,Gymnastics,CHI,M,0.544598,False
1984,Gymnastics,CHN,F,0.578278,False
1988,Gymnastics,CHN,F,0.33117846,False
1992,Gymnastics,CHN,F,0.5261484,False
1996,Gymnastics,CHN,F,0.52402884,False
2000,Gymnastics,CHN,F,0.6218318,False
2004,Gymnastics,CHN,F,0.5591125,False
2008,Gymnastics,CHN,F,0.68216723,True
2012,Gymnastics,CHN,F,0.6231164,False
2016,Gymnastics,CHN,F,0.57598037,False
1984,Gymnastics,CHN,M,0.5891389,False
1988,Gymnastics,CHN,M,0.495864,False
1992,Gymnastics,CHN,M,0.56560963,False
1996,Gymnastics,CHN,M,0.65642595,False
2000,Gymnastics,CHN,M,0.68088263,True
2004,Gymnastics,CHN,M,0.597375,False
2008,Gymnastics,CHN,M,0.68216723,True
2012,Gymnastics,CHN,M,0.68216723,True
2016,Gymnastics,CHN,M,0.57598037,False
2008,Gymnastics,COL,F,0.544598,False
2012,Gymnastics,COL,F,0.544598,False
2016,Gymnastics,COL,F,0.544598,False
2004,Gymnastics,COL,M,0.544598,False
2008,Gymnastics,COL,M,0.544598,False
2012,Gymnastics,COL,M,0.544598,False
2016,Gymnastics,COL,M,0.544598,False
2008,Gymnastics,CRO,F,0.544598,False
2012,Gymnastics,CRO,F,0.544598,False
2016,Gymnastics,CRO,F,0.544598,False
1996,Gymnastics,CRO,M,0.544598,False
2008,Gymnastics,CRO,M,0.54977036,False
2012,Gymnastics,CRO,M,0.544598,False
2016,Gymnastics,CRO,M,0.544598,False
1960,Gymnastics,CUB,F,0.34772977,False
1968,Gymnastics,CUB,F,0.31598768,False
2004,Gymnastics,CUB,F,0.544598,False
2016,Gymnastics,CUB,F,0.544598,False
1948,Gymnastics,CUB,M,0.31598768,False
1952,Gymnastics,CUB,M,0.34772977,False
1956,Gymnastics,CUB,M,0.34772977,False
1964,Gymnastics,CUB,M,0.31598768,False
1968,Gymnastics,CUB,M,0.31598768,False
1972,Gymnastics,CUB,M,0.3231351,False
1976,Gymnastics,CUB,M,0.3548772,False
1980,Gymnastics,CUB,M,0.3231351,False
2000,Gymnastics,CUB,M,0.544598,False
2004,Gymnastics,CUB,M,0.544598,False
2016,Gymnastics,CUB,M,0.544598,False
2016,Gymnastics,CYP,M,0.544598,False
1996,Gymnastics,CZE,F,0.544598,False
2000,Gymnastics,CZE,F,0.544598,False
2004,Gymnastics,CZE,F,0.544598,False
2008,Gymnastics,CZE,F,0.544598,False
2012,Gymnastics,CZE,F,0.544598,False
1996,Gymnastics,CZE,M,0.544598,False
2008,Gymnastics,CZE,M,0.544598,False
2012,Gymnastics,CZE,M,0.544598,False
2016,Gymnastics,CZE,M,0.544598,False
1968,Gymnastics,DEN,F,0.34772977,False
1896,Gymnastics,DEN,M,0.34772977,False
1906,Gymnastics,DEN,M,0.42023146,False
1908,Gymnastics,DEN,M,0.34772977,False
1912,Gymnastics,DEN,M,0.39929417,False
1920,Gymnastics,DEN,M,0.5812335,False
1948,Gymnastics,DEN,M,0.31598768,False
1952,Gymnastics,DEN,M,0.31598768,False
1968,Gymnastics,DEN,M,0.34772977,False
1972,Gymnastics,DEN,M,0.3548772,False
1976,Gymnastics,DEN,M,0.3548772,False
2012,Gymnastics,DOM,F,0.544598,False
1968,Gymnastics,ECU,M,0.34772977,False
2008,Gymnastics,EGY,F,0.544598,False
2012,Gymnastics,EGY,F,0.544598,False
2016,Gymnastics,EGY,F,0.544598,False
1920,Gymnastics,EGY,M,0.34772977,False
1948,Gymnastics,EGY,M,0.31598768,False
1952,Gymnastics,EGY,M,0.31598768,False
1964,Gymnastics,EGY,M,0.34772977,False
2000,Gymnastics,EGY,M,0.544598,False
2008,Gymnastics,EGY,M,0.544598,False
2012,Gymnastics,EGY,M,0.544598,False
1960,Gymnastics,ESP,F,0.31598768,False
1972,Gymnastics,ESP,F,0.3548772,False
1976,Gymnastics,ESP,F,0.3548772,False
1980,Gymnastics,ESP,F,0.3548772,False
1984,Gymnastics,ESP,F,0.33117846,False
1988,Gymnastics,ESP,F,0.33117846,False
1992,Gymnastics,ESP,F,0.34691793,False
1996,Gymnastics,ESP,F,0.51885647,False
2000,Gymnastics,ESP,F,0.5433134,False
2004,Gymnastics,ESP,F,0.5591125,False
2008,Gymnastics,ESP,F,0.544598,False
2012,Gymnastics,ESP,F,0.544598,False
2016,Gymnastics,ESP,F,0.544598,False
1952,Gymnastics,ESP,M,0.34772977,False
1960,Gymnastics,ESP,M,0.31598768,False
1972,Gymnastics,ESP,M,0.3548772,False
1976,Gymnastics,ESP,M,0.3548772,False
1980,Gymnastics,ESP,M,0.3548772,False
1984,Gymnastics,ESP,M,0.36292055,False
1988,Gymnastics,ESP,M,0.36292055,False
1992,Gymnastics,ESP,M,0.37866002,False
1996,Gymnastics,ESP,M,0.544598,False
2000,Gymnastics,ESP,M,0.597375,False
2004,Gymnastics,ESP,M,0.597375,False
2008,Gymnastics,ESP,M,0.52402884,False
2012,Gymnastics,ESP,M,0.5433134,False
2016,Gymnastics,ESP,M,0.544598,False
1992,Gymnastics,EUN,F,0.5973518,False
1992,Gymnastics,EUN,M,0.5900664,False
1952,Gymnastics,FIN,F,0.31598768,False
1960,Gymnastics,FIN,F,0.31598768,False
1964,Gymnastics,FIN,F,0.34772977,False
2012,Gymnastics,FIN,F,0.544598,False
1908,Gymnastics,FIN,M,0.4208934,False
1912,Gymnastics,FIN,M,0.42023146,False
1924,Gymnastics,FIN,M,0.31598768,False
1928,Gymnastics,FIN,M,0.33178675,False
1932,Gymnastics,FIN,M,0.38843325,False
1936,Gymnastics,FIN,M,0.5197492,False
1948,Gymnastics,FIN,M,0.54949135,False
1952,Gymnastics,FIN,M,0.40160042,False
1956,Gymnastics,FIN,M,0.4204818,False
1960,Gymnastics,FIN,M,0.48067322,False
1964,Gymnastics,FIN,M,0.33178675,False
1968,Gymnastics,FIN,M,0.32116005,False
1972,Gymnastics,FIN,M,0.3548772,False
2016,Gymnastics,FIN,M,0.544598,False
1928,Gymnastics,FRA,F,0.34772977,False
1948,Gymnastics,FRA,F,0.34772977,False
1952,Gymnastics,FRA,F,0.31598768,False
1956,Gymnastics,FRA,F,0.34772977,False
1960,Gymnastics,FRA,F,0.31598768,False
1964,Gymnastics,FRA,F,0.34772977,False
1968,Gymnastics,FRA,F,0.31598768,False
1972,Gymnastics,FRA,F,0.3231351,False
1976,Gymnastics,FRA,F,0.3548772,False
1984,Gymnastics,FRA,F,0.36292055,False
1988,Gymnastics,FRA,F,0.36292055,False
1992,Gymnastics,FRA,F,0.34691793,False
1996,Gymnastics,FRA,F,0.51885647,False
2000,Gymnastics,FRA,F,0.5433134,False
2004,Gymnastics,FRA,F,0.6218318,False
2008,Gymnastics,FRA,F,0.5433134,False
2012,Gymnastics,FRA,F,0.544598,False
2016,Gymnastics,FRA,F,0.544598,False
1896,Gymnastics,FRA,M,0.34772977,False
1900,Gymnastics,FRA,M,0.48067322,False
1906,Gymnastics,FRA,M,0.5124153,False
1908,Gymnastics,FRA,M,0.33178675,False
1912,Gymnastics,FRA,M,0.35290214,False
1920,Gymnastics,FRA,M,0.39929417,False
1924,Gymnastics,FRA,M,0.54949135,False
1928,Gymnastics,FRA,M,0.31598768,False
1936,Gymnastics,FRA,M,0.31598768,False
1948,Gymnastics,FRA,M,0.31598768,False
1952,Gymnastics,FRA,M,0.31598768,False
1956,Gymnastics,FRA,M,0.34772977,False
1960,Gymnastics,FRA,M,0.31598768,False
1964,Gymnastics,FRA,M,0.34772977,False
1968,Gymnastics,FRA,M,0.34772977,False
1972,Gymnastics,FRA,M,0.3231351,False
1976,Gymnastics,FRA,M,0.33893418,False
1980,Gymnastics,FRA,M,0.3231351,False
1984,Gymnastics,FRA,M,0.34697753,False
1988,Gymnastics,FRA,M,0.33117846,False
1992,Gymnastics,FRA,M,0.37866002,False
1996,Gymnastics,FRA,M,0.51885647,False
2000,Gymnastics,FRA,M,0.52402884,False
2004,Gymnastics,FRA,M,0.51885647,False
2008,Gymnastics,FRA,M,0.5258629,False
2012,Gymnastics,FRA,M,0.5603971,False
2016,Gymnastics,FRA,M,0.544598,False
1968,Gymnastics,FRG,F,0.31598768,False
1972,Gymnastics,FRG,F,0.3231351,False
1976,Gymnastics,FRG,F,0.3231351,False
1984,Gymnastics,FRG,F,0.33117846,False
1988,Gymnastics,FRG,F,0.36292055,False
1968,Gymnastics,FRG,M,0.31598768,False
1972,Gymnastics,FRG,M,0.3231351,False
1976,Gymnastics,FRG,M,0.33893418,False
1984,Gymnastics,FRG,M,0.33117846,False
1988,Gymnastics,FRG,M,0.33117846,False
1928,Gymnastics,GBR,F,0.4208934,False
1936,Gymnastics,GBR,F,0.34772977,False
1948,Gymnastics,GBR,F,0.34772977,False
1952,Gymnastics,GBR,F,0.31598768,False
1956,Gymnastics,GBR,F,0.34772977,False
1960,Gymnastics,GBR,F,0.31598768,False
1964,Gymnastics,GBR,F,0.34772977,False
1968,Gymnastics,GBR,F,0.34772977,False
1972,Gymnastics,GBR,F,0.3231351,False
1976,Gymnastics,GBR,F,0.3548772,False
1980,Gymnastics,GBR,F,0.3548772,False
1984,Gymnastics,GBR,F,0.33117846,False
1988,Gymnastics,GBR,F,0.36292055,False
1992,Gymnastics,GBR,F,0.37866002,False
1996,Gymnastics,GBR,F,0.544598,False
2000,Gymnastics,GBR,F,0.5433134,False
2004,Gymnastics,GBR,F,0.5433134,False
2008,Gymnastics,GBR,F,0.5433134,False
2012,Gymnastics,GBR,F,0.5603971,False
2016,Gymnastics,GBR,F,0.5603971,False
1896,Gymnastics,GBR,M,0.34772977,False
1900,Gymnastics,GBR,M,0.34772977,False
1906,Gymnastics,GBR,M,0.34772977,False
1908,Gymnastics,GBR,M,0.32116005,False
1912,Gymnastics,GBR,M,0.4208934,False
1920,Gymnastics,GBR,M,0.34044436,False
1924,Gymnastics,GBR,M,0.31598768,False
1928,Gymnastics,GBR,M,0.31598768,False
1948,Gymnastics,GBR,M,0.31598768,False
1952,Gymnastics,GBR,M,0.31598768,False
1956,Gymnastics,GBR,M,0.34772977,False
1960,Gymnastics,GBR,M,0.31598768,False
1964,Gymnastics,GBR,M,0.34772977,False
1968,Gymnastics,GBR,M,0.34772977,False
1972,Gymnastics,GBR,M,0.3548772,False
1976,Gymnastics,GBR,M,0.3548772,False
1980,Gymnastics,GBR,M,0.3548772,False
1984,Gymnastics,GBR,M,0.33117846,False
1988,Gymnastics,GBR,M,0.36292055,False
1992,Gymnastics,GBR,M,0.34691793,False
1996,Gymnastics,GBR,M,0.544598,False
2000,Gymnastics,GBR,M,0.544598,False
2008,Gymnastics,GBR,M,0.5603971,False
2012,Gymnastics,GBR,M,0.62858623,False
2016,Gymnastics,GBR,M,0.6231164,False
1968,Gymnastics,GDR,F,0.4233393,False
1972,Gymnastics,GDR,F,0.588381,False
1976,Gymnastics,GDR,F,0.4304868,False
1980,Gymnastics,GDR,F,0.5628329,False
1988,Gymnastics,GDR,F,0.4336297,False
1968,Gymnastics,GDR,M,0.4204818,False
1972,Gymnastics,GDR,M,0.54577786,False
1976,Gymnastics,GDR,M,0.42762923,False
1980,Gymnastics,GDR,M,0.54577786,False
1988,Gymnastics,GDR,M,0.55978173,False
1996,Gymnastics,GEO,M,0.544598,False
2000,Gymnastics,GEO,M,0.544598,False
2004,Gymnastics,GEO,M,0.544598,False
2008,Gymnastics,GEO,M,0.544598,False
1936,Gymnastics,GER,F,0.5703726,False
1952,Gymnastics,GER,F,0.31598768,False
1960,Gymnastics,GER,F,0.31598768,False
1964,Gymnastics,GER,F,0.32116005,False
1992,Gymnastics,GER,F,0.34691793,False
1996,Gymnastics,GER,F,0.544598,False
2004,Gymnastics,GER,F,0.544598,False
2008,Gymnastics,GER,F,0.54848576,False
2012,Gymnastics,GER,F,0.544598,False
2016,Gymnastics,GER,F,0.5603971,False
1896,Gymnastics,GER,M,0.54949135,False
1900,Gymnastics,GER,M,0.34772977,False
1904,Gymnastics,GER,M,0.34745073,False
1906,Gymnastics,GER,M,0.34044436,False
1908,Gymnastics,GER,M,0.34772977,False
1912,Gymnastics,GER,M,0.31598768,False
1936,Gymnastics,GER,M,0.54949135,False
1952,Gymnastics,GER,M,0.32116005,False
1956,Gymnastics,GER,M,0.48067322,False
1960,Gymnastics,GER,M,0.31598768,False
1964,Gymnastics,GER,M,0.4204818,False
1992,Gymnastics,GER,M,0.35392424,False
1996,Gymnastics,GER,M,0.597375,False
2000,Gymnastics,GER,M,0.51885647,False
2004,Gymnastics,GER,M,0.51885647,False
2008,Gymnastics,GER,M,0.5346556,False
2012,Gymnastics,GER,M,0.54977036,False
2016,Gymnastics,GER,M,0.6231164,False
1988,Gymnastics,GRE,F,0.36292055,False
1996,Gymnastics,GRE,F,0.51885647,False
2000,Gymnastics,GRE,F,0.544598,False
2004,Gymnastics,GRE,F,0.544598,False
2008,Gymnastics,GRE,F,0.544598,False
2012,Gymnastics,GRE,F,0.544598,False
2016,Gymnastics,GRE,F,0.544598,False
1896,Gymnastics,GRE,M,0.5703726,False
1906,Gymnastics,GRE,M,0.5124153,False
1996,Gymnastics,GRE,M,0.6231164,False
2000,Gymnastics,GRE,M,0.54977036,False
2004,Gymnastics,GRE,M,0.6231164,False
2008,Gymnastics,GRE,M,0.544598,False
2012,Gymnastics,GRE,M,0.544598,False
2016,Gymnastics,GRE,M,0.6231164,False
1988,Gymnastics,GUA,F,0.36292055,False
1992,Gymnastics,GUA,F,0.37866002,False
2012,Gymnastics,GUA,F,0.544598,False
2016,Gymnastics,GUA,F,0.544598,False
2012,Gymnastics,HKG,F,0.544598,False
2012,Gymnastics,HKG,M,0.544598,False
1928,Gymnastics,HUN,F,0.34772977,False
1936,Gymnastics,HUN,F,0.42667592,False
1948,Gymnastics,HUN,F,0.42601398,False
1952,Gymnastics,HUN,F,0.54840004,False
1956,Gymnastics,HUN,F,0.5812335,False
1960,Gymnastics,HUN,F,0.31598768,False
1964,Gymnastics,HUN,F,0.34745073,False
1968,Gymnastics,HUN,F,0.31598768,False
1972,Gymnastics,HUN,F,0.4520861,False
1976,Gymnastics,HUN,F,0.33893418,False
1980,Gymnastics,HUN,F,0.3231351,False
1988,Gymnastics,HUN,F,0.33117846,False
1992,Gymnastics,HUN,F,0.5261484,False
1996,Gymnastics,HUN,F,0.51885647,False
2000,Gymnastics,HUN,F,0.544598,False
2004,Gymnastics,HUN,F,0.544598,False
2008,Gymnastics,HUN,F,0.544598,False
2012,Gymnastics,HUN,F,0.544598,False
2016,Gymnastics,HUN,F,0.544598,False
1896,Gymnastics,HUN,M,0.34772977,False
1900,Gymnastics,HUN,M,0.34772977,False
1906,Gymnastics,HUN,M,0.35290214,False
1908,Gymnastics,HUN,M,0.34772977,False
1912,Gymnastics,HUN,M,0.42023146,False
1928,Gymnastics,HUN,M,0.31598768,False
1932,Gymnastics,HUN,M,0.5124153,False
1936,Gymnastics,HUN,M,0.31598768,False
1948,Gymnastics,HUN,M,0.5306101,False
1952,Gymnastics,HUN,M,0.31598768,False
1956,Gymnastics,HUN,M,0.34772977,False
1960,Gymnastics,HUN,M,0.31598768,False
1964,Gymnastics,HUN,M,0.31598768,False
1968,Gymnastics,HUN,M,0.31598768,False
1972,Gymnastics,HUN,M,0.3231351,False
1976,Gymnastics,HUN,M,0.48782066,False
1980,Gymnastics,HUN,M,0.54577786,False
1988,Gymnastics,HUN,M,0.495864,False
1992,Gymnastics,HUN,M,0.34691793,False
1996,Gymnastics,HUN,M,0.54977036,False
2000,Gymnastics,HUN,M,0.6231164,False
2004,Gymnastics,HUN,M,0.544598,False
2008,Gymnastics,HUN,M,0.544598,False
2012,Gymnastics,HUN,M,0.6231164,False
2016,Gymnastics,HUN,M,0.544598,False
2016,Gymnastics,IND,F,0.544598,False
1952,Gymnastics,IND,M,0.34772977,False
1956,Gymnastics,IND,M,0.34772977,False
1964,Gymnastics,IND,M,0.31598768,False
1964,Gymnastics,IRI,F,0.34772977,False
1964,Gymnastics,IRI,M,0.34772977,False
2016,Gymnastics,IRL,F,0.544598,False
1996,Gymnastics,IRL,M,0.544598,False
2012,Gymnastics,IRL,M,0.544598,False
2016,Gymnastics,IRL,M,0.544598,False
2016,Gymnastics,ISL,F,0.544598,False
1996,Gymnastics,ISL,M,0.544598,False
2000,Gymnastics,ISL,M,0.544598,False
2004,Gymnastics,ISL,M,0.544598,False
1960,Gymnastics,ISR,F,0.34772977,False
1984,Gymnastics,ISR,F,0.36292055,False
1988,Gymnastics,ISR,F,0.36292055,False
2012,Gymnastics,ISR,F,0.544598,False
1976,Gymnastics,ISR,M,0.3548772,False
1984,Gymnastics,ISR,M,0.36292055,False
1992,Gymnastics,ISR,M,0.37866002,False
2004,Gymnastics,ISR,M,0.544598,False
2008,Gymnastics,ISR,M,0.544598,False
2012,Gymnastics,ISR,M,0.544598,False
2016,Gymnastics,ISR,M,0.544598,False
1928,Gymnastics,ITA,F,0.42023146,False
1936,Gymnastics,ITA,F,0.34772977,False
1948,Gymnastics,ITA,F,0.34772977,False
1952,Gymnastics,ITA,F,0.31598768,False
1956,Gymnastics,ITA,F,0.31598768,False
1960,Gymnastics,ITA,F,0.31598768,False
1968,Gymnastics,ITA,F,0.34772977,False
1972,Gymnastics,ITA,F,0.3231351,False
1976,Gymnastics,ITA,F,0.3231351,False
1984,Gymnastics,ITA,F,0.36292055,False
1988,Gymnastics,ITA,F,0.36292055,False
1992,Gymnastics,ITA,F,0.37866002,False
1996,Gymnastics,ITA,F,0.544598,False
2000,Gymnastics,ITA,F,0.5433134,False
2004,Gymnastics,ITA,F,0.544598,False
2008,Gymnastics,ITA,F,0.5433134,False
2012,Gymnastics,ITA,F,0.544598,False
2016,Gymnastics,ITA,F,0.544598,False
1900,Gymnastics,ITA,M,0.34772977,False
1906,Gymnastics,ITA,M,0.39929417,False
1908,Gymnastics,ITA,M,0.50513,False
1912,Gymnastics,ITA,M,0.5812335,False
1920,Gymnastics,ITA,M,0.5812335,False
1924,Gymnastics,ITA,M,0.5386304,False
1928,Gymnastics,ITA,M,0.32116005,False
1932,Gymnastics,ITA,M,0.5812335,False
1936,Gymnastics,ITA,M,0.31598768,False
1948,Gymnastics,ITA,M,0.31598768,False
1952,Gymnastics,ITA,M,0.31598768,False
1960,Gymnastics,ITA,M,0.39888263,False
1964,Gymnastics,ITA,M,0.48067322,False
1968,Gymnastics,ITA,M,0.31598768,False
1972,Gymnastics,ITA,M,0.3231351,False
1976,Gymnastics,ITA,M,0.3548772,False
1984,Gymnastics,ITA,M,0.36292055,False
1988,Gymnastics,ITA,M,0.33117846,False
1992,Gymnastics,ITA,M,0.34691793,False
1996,Gymnastics,ITA,M,0.597375,False
2000,Gymnastics,ITA,M,0.544598,False
2004,Gymnastics,ITA,M,0.597375,False
2008,Gymnastics,ITA,M,0.51885647,False
2012,Gymnastics,ITA,M,0.5591125,False
2016,Gymnastics,ITA,M,0.544598,False
2016,Gymnastics,JAM,F,0.544598,False
1956,Gymnastics,JPN,F,0.31598768,False
1960,Gymnastics,JPN,F,0.31598768,False
1964,Gymnastics,JPN,F,0.4449386,False
1968,Gymnastics,JPN,F,0.31598768,False
1972,Gymnastics,JPN,F,0.3231351,False
1976,Gymnastics,JPN,F,0.3231351,False
1984,Gymnastics,JPN,F,0.33117846,False
1988,Gymnastics,JPN,F,0.33117846,False
1992,Gymnastics,JPN,F,0.37866002,False
1996,Gymnastics,JPN,F,0.51885647,False
2000,Gymnastics,JPN,F,0.544598,False
2004,Gymnastics,JPN,F,0.544598,False
2008,Gymnastics,JPN,F,0.5433134,False
2012,Gymnastics,JPN,F,0.544598,False
2016,Gymnastics,JPN,F,0.544598,False
1932,Gymnastics,JPN,M,0.34772977,False
1936,Gymnastics,JPN,M,0.31598768,False
1952,Gymnastics,JPN,M,0.322994,False
1956,Gymnastics,JPN,M,0.5739481,False
1960,Gymnastics,JPN,M,0.5739481,False
1964,Gymnastics,JPN,M,0.5739481,False
1968,Gymnastics,JPN,M,0.5739481,False
1972,Gymnastics,JPN,M,0.5810956,False
1976,Gymnastics,JPN,M,0.5810956,False
1984,Gymnastics,JPN,M,0.5635908,False
1988,Gymnastics,JPN,M,0.4307722,False
1992,Gymnastics,JPN,M,0.42491242,False
1996,Gymnastics,JPN,M,0.51885647,False
2000,Gymnastics,JPN,M,0.51885647,False
2004,Gymnastics,JPN,M,0.68088263,True
2008,Gymnastics,JPN,M,0.6226909,False
2012,Gymnastics,JPN,M,0.68216723,True
2016,Gymnastics,JPN,M,0.68216723,True
1996,Gymnastics,KAZ,F,0.544598,False
2000,Gymnastics,KAZ,F,0.544598,False
2012,Gymnastics,KAZ,F,0.544598,False
1996,Gymnastics,KAZ,M,0.544598,False
2000,Gymnastics,KAZ,M,0.544598,False
2004,Gymnastics,KAZ,M,0.544598,False
2012,Gymnastics,KAZ,M,0.544598,False
1960,Gymnastics,KOR,F,0.34772977,False
1964,Gymnastics,KOR,F,0.34772977,False
1984,Gymnastics,KOR,F,0.36292055,False
1988,Gymnastics,KOR,F,0.33117846,False
1992,Gymnastics,KOR,F,0.37866002,False
1996,Gymnastics,KOR,F,0.544598,False
2000,Gymnastics,KOR,F,0.544598,False
2004,Gymnastics,KOR,F,0.544598,False
2008,Gymnastics,KOR,F,0.544598,False
2012,Gymnastics,KOR,F,0.544598,False
2016,Gymnastics,KOR,F,0.544598,False
1960,Gymnastics,KOR,M,0.34772977,False
1964,Gymnastics,KOR,M,0.31598768,False
1968,Gymnastics,KOR,M,0.34772977,False
1984,Gymnastics,KOR,M,0.33117846,False
1988,Gymnastics,KOR,M,0.37871963,False
1992,Gymnastics,KOR,M,0.362717,False
1996,Gymnastics,KOR,M,0.52402884,False
2000,Gymnastics,KOR,M,0.5258629,False
2004,Gymnastics,KOR,M,0.5258629,False
2008,Gymnastics,KOR,M,0.52402884,False
2012,Gymnastics,KOR,M,0.6218318,False
2016,Gymnastics,KOR,M,0.5433134,False
1996,Gymnastics,LAT,F,0.544598,False
2000,Gymnastics,LAT,M,0.6231164,False
2004,Gymnastics,LAT,M,0.54977036,False
2012,Gymnastics,LAT,M,0.544598,False
1972,Gymnastics,LIE,M,0.3548772,False
2000,Gymnastics,LTU,F,0.544598,False
2008,Gymnastics,LTU,F,0.544598,False
2012,Gymnastics,LTU,F,0.544598,False
2012,Gymnastics,LTU,M,0.544598,False
2016,Gymnastics,LTU,M,0.544598,False
1956,Gymnastics,LUX,F,0.34772977,False
1960,Gymnastics,LUX,F,0.34772977,False
1912,Gymnastics,LUX,M,0.31598768,False
1924,Gymnastics,LUX,M,0.31598768,False
1928,Gymnastics,LUX,M,0.31598768,False
1936,Gymnastics,LUX,M,0.31598768,False
1948,Gymnastics,LUX,M,0.31598768,False
1952,Gymnastics,LUX,M,0.31598768,False
1956,Gymnastics,LUX,M,0.34772977,False
1960,Gymnastics,LUX,M,0.31598768,False
1964,Gymnastics,LUX,M,0.34772977,False
2008,Gymnastics,LUX,M,0.544598,False
1996,Gymnastics,MAR,F,0.544598,False
1960,Gymnastics,MAR,M,0.31598768,False
2000,Gymnastics,MAS,F,0.544598,False
2004,Gymnastics,MAS,M,0.544598,False
1968,Gymnastics,MEX,F,0.31598768,False
1972,Gymnastics,MEX,F,0.3231351,False
1976,Gymnastics,MEX,F,0.3548772,False
1980,Gymnastics,MEX,F,0.3548772,False
1992,Gymnastics,MEX,F,0.37866002,False
2000,Gymnastics,MEX,F,0.544598,False
2004,Gymnastics,MEX,F,0.544598,False
2008,Gymnastics,MEX,F,0.544598,False
2012,Gymnastics,MEX,F,0.544598,False
2016,Gymnastics,MEX,F,0.544598,False
1932,Gymnastics,MEX,M,0.34772977,False
1948,Gymnastics,MEX,M,0.31598768,False
1960,Gymnastics,MEX,M,0.34772977,False
1968,Gymnastics,MEX,M,0.31598768,False
1972,Gymnastics,MEX,M,0.3548772,False
1984,Gymnastics,MEX,M,0.36292055,False
1988,Gymnastics,MEX,M,0.36292055,False
1992,Gymnastics,MEX,M,0.37866002,False
2012,Gymnastics,MEX,M,0.544598,False
2016,Gymnastics,MEX,M,0.544598,False
1964,Gymnastics,MGL,F,0.34772977,False
1968,Gymnastics,MGL,F,0.34772977,False
1980,Gymnastics,MGL,F,0.3548772,False
1964,Gymnastics,MGL,M,0.34772977,False
1968,Gymnastics,MGL,M,0.34772977,False
1920,Gymnastics,MON,M,0.34772977,False
2016,Gymnastics,MON,M,0.544598,False
2000,Gymnastics,NAM,F,0.544598,False
1928,Gymnastics,NED,F,0.5703726,False
1948,Gymnastics,NED,F,0.34772977,False
1952,Gymnastics,NED,F,0.31598768,False
1960,Gymnastics,NED,F,0.31598768,False
1972,Gymnastics,NED,F,0.3231351,False
1976,Gymnastics,NED,F,0.3231351,False
