Year,Sport,NOC,Sex,Legendary_Index,Predicted_Legendary_Coach
1996,Archery,IRL,M,0.544598,False
2012,Archery,IRQ,F,0.544598,False
2024,Archery,ISR,F,0.544598,False
2020,Archery,ISR,M,0.544598,False
2024,Archery,ISR,M,0.544598,False
2020,Archery,ISV,M,0.544598,False
2024,Archery,ISV,M,0.544598,False
1976,Archery,ITA,F,0.3548772,False
1980,Archery,ITA,F,0.3548772,False
1984,Archery,ITA,F,0.36292055,False
1992,Archery,ITA,F,0.37866002,False
1996,Archery,ITA,F,0.544598,False
2000,Archery,ITA,F,0.544598,False
2004,Archery,ITA,F,0.544598,False
2008,Archery,ITA,F,0.544598,False
2012,Archery,ITA,F,0.544598,False
2016,Archery,ITA,F,0.544598,False
2020,Archery,ITA,F,0.5603971,False
2024,Archery,ITA,F,0.544598,False
1972,Archery,ITA,M,0.3548772,False
1976,Archery,ITA,M,0.37067628,False
1980,Archery,ITA,M,0.37067628,False
1984,Archery,ITA,M,0.36292055,False
1988,Archery,ITA,M,0.36292055,False
1992,Archery,ITA,M,0.37866002,False
1996,Archery,ITA,M,0.57598037,False
2000,Archery,ITA,M,0.54977036,False
2004,Archery,ITA,M,0.6231164,False
2008,Archery,ITA,M,0.54977036,False
2012,Archery,ITA,M,0.6231164,False
2016,Archery,ITA,M,0.544598,False
2020,Archery,ITA,M,0.54977036,False
2024,Archery,ITA,M,0.544598,False
1988,Archery,JOR,F,0.36292055,False
1972,Archery,JPN,F,0.3548772,False
1976,Archery,JPN,F,0.3548772,False
1984,Archery,JPN,F,0.36292055,False
1988,Archery,JPN,F,0.36292055,False
1992,Archery,JPN,F,0.37866002,False
1996,Archery,JPN,F,0.544598,False
2000,Archery,JPN,F,0.544598,False
2004,Archery,JPN,F,0.544598,False
2008,Archery,JPN,F,0.544598,False
2012,Archery,JPN,F,0.57598037,False
2016,Archery,JPN,F,0.544598,False
2020,Archery,JPN,F,0.544598,False
2024,Archery,JPN,F,0.544598,False
1972,Archery,JPN,M,0.3548772,False
1976,Archery,JPN,M,0.36004958,False
1984,Archery,JPN,M,0.37871963,False
1988,Archery,JPN,M,0.36292055,False
1992,Archery,JPN,M,0.37866002,False
1996,Archery,JPN,M,0.544598,False
2000,Archery,JPN,M,0.544598,False
2004,Archery,JPN,M,0.54977036,False
2008,Archery,JPN,M,0.544598,False
2012,Archery,JPN,M,0.54977036,False
2016,Archery,JPN,M,0.544598,False
2020,Archery,JPN,M,0.57598037,False
2024,Archery,JPN,M,0.544598,False
1996,Archery,KAZ,F,0.544598,False
2000,Archery,KAZ,F,0.544598,False
2004,Archery,KAZ,F,0.544598,False
2008,Archery,KAZ,F,0.544598,False
2012,Archery,KAZ,F,0.544598,False
2016,Archery,KAZ,F,0.544598,False
1996,Archery,KAZ,M,0.544598,False
2000,Archery,KAZ,M,0.544598,False
2004,Archery,KAZ,M,0.544598,False
2012,Archery,KAZ,M,0.544598,False
2016,Archery,KAZ,M,0.544598,False
2020,Archery,KAZ,M,0.544598,False
2024,Archery,KAZ,M,0.544598,False
1996,Archery,KEN,F,0.544598,False
2016,Archery,KEN,F,0.544598,False
1996,Archery,KEN,M,0.544598,False
2000,Archery,KEN,M,0.544598,False
1984,Archery,KOR,F,0.5276059,False
1988,Archery,KOR,F,0.58066297,False
1992,Archery,KOR,F,0.5334338,False
1996,Archery,KOR,F,0.6231164,False
2000,Archery,KOR,F,0.68216723,True
2004,Archery,KOR,F,0.6231164,False
2008,Archery,KOR,F,0.6231164,False
2012,Archery,KOR,F,0.6231164,False
2016,Archery,KOR,F,0.6231164,False
2020,Archery,KOR,F,0.6231164,False
2024,Archery,KOR,F,0.68216723,True
1984,Archery,KOR,M,0.36292055,False
1988,Archery,KOR,M,0.5276059,False
1992,Archery,KOR,M,0.3838324,False
1996,Archery,KOR,M,0.55160433,False
2000,Archery,KOR,M,0.6231164,False
2004,Archery,KOR,M,0.6231164,False
2008,Archery,KOR,M,0.6231164,False
2012,Archery,KOR,M,0.6231164,False
2016,Archery,KOR,M,0.6231164,False
2020,Archery,KOR,M,0.6231164,False
2024,Archery,KOR,M,0.68216723,True
1984,Archery,KSA,M,0.36292055,False
1988,Archery,KSA,M,0.36292055,False
2004,Archery,LAO,M,0.544598,False
2016,Archery,LBA,M,0.544598,False
1972,Archery,LUX,F,0.3548772,False
1984,Archery,LUX,F,0.36292055,False
1988,Archery,LUX,F,0.36292055,False
1992,Archery,LUX,F,0.37866002,False
1972,Archery,LUX,M,0.3548772,False
1980,Archery,LUX,M,0.3548772,False
1984,Archery,LUX,M,0.36292055,False
2004,Archery,LUX,M,0.544598,False
2012,Archery,LUX,M,0.544598,False
2020,Archery,LUX,M,0.544598,False
2024,Archery,LUX,M,0.544598,False
2008,Archery,MAR,F,0.544598,False
2004,Archery,MAS,F,0.544598,False
2012,Archery,MAS,F,0.544598,False
2020,Archery,MAS,F,0.544598,False
2024,Archery,MAS,F,0.544598,False
2008,Archery,MAS,M,0.544598,False
2012,Archery,MAS,M,0.544598,False
2016,Archery,MAS,M,0.544598,False
2020,Archery,MAS,M,0.544598,False
2016,Archery,MAW,M,0.544598,False
2020,Archery,MAW,M,0.544598,False
1996,Archery,MDA,F,0.544598,False
2016,Archery,MDA,F,0.544598,False
2020,Archery,MDA,F,0.544598,False
2024,Archery,MDA,F,0.544598,False
2012,Archery,MDA,M,0.544598,False
2020,Archery,MDA,M,0.544598,False
2024,Archery,MDA,M,0.544598,False
1972,Archery,MEX,F,0.3548772,False
1984,Archery,MEX,F,0.36292055,False
1988,Archery,MEX,F,0.36292055,False
1992,Archery,MEX,F,0.37866002,False
1996,Archery,MEX,F,0.544598,False
2000,Archery,MEX,F,0.544598,False
2008,Archery,MEX,F,0.544598,False
2012,Archery,MEX,F,0.55160433,False
2016,Archery,MEX,F,0.544598,False
2020,Archery,MEX,F,0.5603971,False
2024,Archery,MEX,F,0.57598037,False
1972,Archery,MEX,M,0.3548772,False
1984,Archery,MEX,M,0.36292055,False
1988,Archery,MEX,M,0.36292055,False
1992,Archery,MEX,M,0.37866002,False
1996,Archery,MEX,M,0.544598,False
2000,Archery,MEX,M,0.544598,False
2004,Archery,MEX,M,0.544598,False
2008,Archery,MEX,M,0.544598,False
2012,Archery,MEX,M,0.544598,False
2016,Archery,MEX,M,0.544598,False
2020,Archery,MEX,M,0.5603971,False
2024,Archery,MEX,M,0.544598,False
1972,Archery,MGL,F,0.3548772,False
1976,Archery,MGL,F,0.3548772,False
1980,Archery,MGL,F,0.3548772,False
1988,Archery,MGL,F,0.36292055,False
1992,Archery,MGL,F,0.37866002,False
1996,Archery,MGL,F,0.544598,False
2012,Archery,MGL,F,0.544598,False
2020,Archery,MGL,F,0.544598,False
1972,Archery,MGL,M,0.3548772,False
1976,Archery,MGL,M,0.3548772,False
1980,Archery,MGL,M,0.3548772,False
2012,Archery,MGL,M,0.544598,False
2016,Archery,MGL,M,0.544598,False
2020,Archery,MGL,M,0.544598,False
2024,Archery,MGL,M,0.544598,False
1980,Archery,MLT,F,0.3548772,False
1984,Archery,MLT,F,0.36292055,False
1988,Archery,MLT,F,0.36292055,False
1980,Archery,MLT,M,0.3548772,False
1984,Archery,MON,M,0.36292055,False
1988,Archery,MON,M,0.36292055,False
2008,Archery,MRI,F,0.544598,False
2000,Archery,MRI,M,0.544598,False
2004,Archery,MRI,M,0.544598,False
2000,Archery,MYA,F,0.544598,False
2004,Archery,MYA,F,0.544598,False
2016,Archery,MYA,F,0.544598,False
2008,Archery,MYA,M,0.544598,False
2012,Archery,MYA,M,0.544598,False
1980,Archery,NED,F,0.3548772,False
1984,Archery,NED,F,0.36292055,False
1988,Archery,NED,F,0.36292055,False
1992,Archery,NED,F,0.37866002,False
1996,Archery,NED,F,0.544598,False
2020,Archery,NED,F,0.54977036,False
2024,Archery,NED,F,0.544598,False
1900,Archery,NED,M,0.34772977,False
1920,Archery,NED,M,0.5703726,False
1980,Archery,NED,M,0.3548772,False
1984,Archery,NED,M,0.36292055,False
1988,Archery,NED,M,0.36292055,False
1992,Archery,NED,M,0.37866002,False
2000,Archery,NED,M,0.5603971,False
2004,Archery,NED,M,0.544598,False
2012,Archery,NED,M,0.544598,False
2016,Archery,NED,M,0.544598,False
2020,Archery,NED,M,0.54977036,False
2024,Archery,NED,M,0.544598,False
2016,Archery,NEP,M,0.544598,False
1972,Archery,NOR,F,0.3548772,False
1996,Archery,NOR,F,0.544598,False
2000,Archery,NOR,F,0.544598,False
1972,Archery,NOR,M,0.3548772,False
1976,Archery,NOR,M,0.3548772,False
1984,Archery,NOR,M,0.36292055,False
